Symbol,Name,AtomicNumber,AddH,Colour,CovalentRadius,VdWRadius,Valency,Mass,Valences,Isotopes,Group,Row,PTRow,PTColumn,PTElementType,C# Property - Copy into PeriodicTable.cs
Ge,Germanium,32,FALSE,#668F8F,1.2,0,4,72.61,2|4,,14,4,3,13,metalloid,public Element Ge { get; private set; } // Germanium - Atomic Number 32
As,Arsenic,33,TRUE,#BD80E3,1.19,1.85,3,74.92159,-3|0|3|5,,15,4,3,14,metalloid,public Element As { get; private set; } // Arsenic - Atomic Number 33
Se,Selenium,34,TRUE,#FFA100,1.2,1.9,2,78.96,-2|4|6,,16,4,3,15,non_metal,public Element Se { get; private set; } // Selenium - Atomic Number 34
Br,Bromine,35,TRUE,#A62929,1.2,1.85,1,79.904,1|3|5|7,,17,4,3,16,halogen,public Element Br { get; private set; } // Bromine - Atomic Number 35
Kr,Krypton,36,FALSE,#5CB8D1,1.16,2.02,0,83.8,0,,18,4,3,17,noble_gas,public Element Kr { get; private set; } // Krypton - Atomic Number 36
Rb,Rubidium,37,FALSE,#702EB0,2.2,0,0,85.4678,1|2|3|4,,1,5,4,0,alkali_metal,public Element Rb { get; private set; } // Rubidium - Atomic Number 37
Sr,Strontium,38,FALSE,#00FF00,1.95,0,0,87.62,2,,2,5,4,1,alkaline_earth_metal,public Element Sr { get; private set; } // Strontium - Atomic Number 38
Y,Yttrium,39,FALSE,#94FFFF,1.9,0,0,88.90585,3,,3,5,4,2,transition_metal,public Element Y { get; private set; } // Yttrium - Atomic Number 39
Zr,Zirconium,40,FALSE,#94E0E0,1.75,0,0,91.224,2|3|4,,4,5,4,3,transition_metal,public Element Zr { get; private set; } // Zirconium - Atomic Number 40
Nb,Niobium,41,FALSE,#73C2C9,1.64,0,1,92.90638,2|3|5,,5,5,4,4,transition_metal,public Element Nb { get; private set; } // Niobium - Atomic Number 41
Mo,Molybdenum,42,FALSE,#54B5B5,1.54,0,2,95.94,2|3|6,,6,5,4,5,transition_metal,public Element Mo { get; private set; } // Molybdenum - Atomic Number 42
Tc,Technetium,43,FALSE,#3B9E9E,1.47,0,3,-97.9072,0|2|4|5|6|7,,7,5,4,6,transition_metal,public Element Tc { get; private set; } // Technetium - Atomic Number 43
Ru,Ruthenium,44,FALSE,#248F8F,1.46,0,2,101.07,0|1|2|3|4|5|6|7|8,,8,5,4,7,transition_metal,public Element Ru { get; private set; } // Ruthenium - Atomic Number 44
Rh,Rhodium,45,FALSE,#0A7D8C,1.42,0,1,102.9055,2|3|4|5|6,,9,5,4,8,transition_metal,public Element Rh { get; private set; } // Rhodium - Atomic Number 45
Pd,Palladium,46,FALSE,#006985,1.39,1.63,0,106.42,2|3|4,,10,5,4,9,transition_metal,public Element Pd { get; private set; } // Palladium - Atomic Number 46
Ag,Silver,47,FALSE,#C0C0C0,1.45,1.72,0,107.8682,1|2,,11,5,4,10,transition_metal,public Element Ag { get; private set; } // Silver - Atomic Number 47
Cd,Cadmium,48,FALSE,#FFD98F,1.44,1.58,0,112.411,2,,12,5,4,11,transition_metal,public Element Cd { get; private set; } // Cadmium - Atomic Number 48
In,Indium,49,FALSE,#A67573,1.42,1.93,0,114.818,1|2|3,,13,5,4,12,other_metal,public Element In { get; private set; } // Indium - Atomic Number 49
Sn,Tin,50,FALSE,#668080,1.39,2.17,4,118.71,2|4,,14,5,4,13,other_metal,public Element Sn { get; private set; } // Tin - Atomic Number 50
Sb,Antimony,51,FALSE,#9E63B5,1.39,0,3,121.757,0|-3|3|5,,15,5,4,14,metalloid,public Element Sb { get; private set; } // Antimony - Atomic Number 51
Te,Tellurium,52,TRUE,#D47A00,1.38,2.06,2,127.6,2|4|6,,16,5,4,15,metalloid,public Element Te { get; private set; } // Tellurium - Atomic Number 52
I,Iodine,53,TRUE,#940094,1.39,1.98,1,126.90447,1|3|5|7,,17,5,4,16,halogen,public Element I { get; private set; } // Iodine - Atomic Number 53
Xe,Xenon,54,FALSE,#429EB0,1.4,2.16,0,131.29,0,,18,5,4,17,noble_gas,public Element Xe { get; private set; } // Xenon - Atomic Number 54
Cs,Cesium,55,FALSE,#57178F,2.44,0,0,132.90543,1,,1,6,5,0,alkali_metal,public Element Cs { get; private set; } // Cesium - Atomic Number 55
